UniqueIdentifier,Department,WorkingStructure,Age,DISC,DISCFirstLetter,DISCFirst2Letters,Nationality,OrganizationalUnit,Gender,HolidayUsed,DevelopmentHours,Year,Level,Performance,FTE,TargetAchievementPortfolio,LeadershipBehaviorPortfolio,Salary,LengthOfService,TargetAchievement,LeadershipBehavior,Title,AbbrOfPosition
187,Department2,Team7,34,IDS,I,ID,French,NGN,Female,6,39,2017,2017,2,1.0,3,3,8565,1.7,2,5,SF-Z-4GB03_G7,FL VI
188,Department3,Team8,63,IDS,I,ID,Italian,KPW,Female,3,11,2016,2016,3,1.0,1,4,2329,10.56,4,2,SF-Z-1GB03_G10,FL VI
189,Department4,Team9,54,CDI,C,CD,Japanese,HNL,Female,3,60,2016,2016,5,1.0,2,1,17718,18.71,2,3,SF1-UK-IEGB3_G9,FL V
190,Department5,Team10,56,SI,S,SI,Scottish,IDR,Male,19,60,2016,2016,2,1.0,1,1,14542,15.9,2,3,SF-Z-1GB03_G10,FL II
191,Department1,Team11,42,CDSI,C,CD,British,JPY,Female,19,15,2017,2017,4,0.8,2,2,7964,27.84,1,4,FG-63GB03_G9,FL V
192,Department2,Team12,20,SICD,S,SI,Scottish,CNY,Female,4,49,2017,2017,5,1.0,2,1,9423,17.03,1,3,FG-63GB03_G9,FL II
193,Department3,Team13,22,DCSI,D,DC,French,CNY,Male,25,102,2016,2016,5,1.0,2,1,8299,27.54,3,4,SF-Z-1GB03_G10,FL V
194,Department4,Team14,25,SIDC,S,SI,British,IDR,Female,20,53,2016,2016,2,1.0,3,2,10866,8.59,2,4,FG-63GB03_G9,FL V
195,Department5,Team15,68,DC,D,DC,American,IDR,Male,13,7,2016,2016,3,0.8,4,3,11268,14.3,2,3,SF3-JPGB03_G12,FL I
196,Department1,Team1,25,CSID,C,CS,French,RUB,Female,15,91,2017,2017,5,1.0,1,2,14330,17.3,2,1,SF3-JPGB03_G12,FL II
197,Department2,Team2,34,SDIC,S,SD,German,CNY,Female,27,94,2017,2017,3,1.0,1,2,16567,9.02,3,2,SF3-JPGB03_G12,FL V
198,Department3,Team3,23,ICD,I,IC,Italian,IQD,Female,2,37,2016,2016,4,1.0,3,2,3776,10.62,1,5,SF3-JPGB03_G12,FL V
199,Department4,Team4,34,DCIS,D,DC,Scottish,CNY,Female,35,118,2017,2017,4,1.0,1,2,14107,5.68,1,1,SF-Z-4GB03_G7,FL VI
200,Department5,Team5,34,CSDI,C,CS,Scottish,BAM,Male,6,79,2017,2017,2,1.0,4,3,1978,12.22,2,2,SF-Z-4GB03_G7,FL I
201,Department1,Team6,22,SIDC,S,SI,French,EUR,Female,39,13,2016,2016,5,1.0,1,2,8088,20.67,3,4,SF-Z-4GB03_G7,FL II
202,Department2,Team7,40,CDSI,C,CD,German,RUB,Female,1,68,2017,2017,2,1.0,2,1,18335,25.41,4,4,SF-Z-1GB03_G10,FL VI
203,Department3,Team8,34,DCI,D,DC,German,EUR,Male,26,83,2016,2016,2,1.0,2,4,7713,29.58,2,1,SF-Z-4GB03_G7,FL II
204,Department4,Team9,61,ICSD,I,IC,Japanese,ARS,Female,35,62,2016,2016,3,1.0,1,4,8408,1.59,1,3,SF-Z-1GB03_G10,FL I
205,Department5,Team10,61,IDS,I,ID,German,BRL,Male,25,86,2016,2016,5,1.0,4,1,14241,13.3,1,1,SF-Z-4GB03_G7,FL II
206,Department1,Team11,32,S,S,S,Irish,USD,Female,16,119,2017,2017,2,1.0,3,4,3563,18.16,1,3,SF-Z-1GB03_G10,FL II
207,Department2,Team12,25,DICS,D,DI,Spanish,VND,Female,15,52,2017,2017,1,1.0,3,4,4318,5.52,4,4,SF3-JPGB03_G12,FL VI
208,Department3,Team13,56,S,S,S,Italian,CAD,Female,39,114,2016,2016,4,1.0,3,2,18785,12.74,3,1,SF3-JPGB03_G12,FL II
209,Department4,Team14,63,I,I,I,French,USD,Female,0,90,2016,2016,5,1.0,3,3,7516,14.84,2,3,SF-Z-1GB03_G10,FL V
210,Department5,Team15,44,CSI,C,CS,Spanish,CNY,Male,11,16,2016,2016,1,1.0,1,3,15599,23.73,1,2,FG-63GB03_G9,FL V
211,Department1,Team1,23,ICDS,I,IC,American,BRL,Male,1,50,2017,2017,1,1.0,3,4,4398,6.48,4,5,SF1-UK-IEGB3_G9,FL VI
212,Department2,Team2,34,DICS,D,DI,Japanese,IDR,Male,24,25,2017,2017,1,1.0,2,1,14893,1.49,3,2,SF3-JPGB03_G12,FL I
213,Department3,Team3,68,CSDI,C,CS,American,VND,Female,32,9,2016,2016,3,1.0,4,3,12715,29.35,4,4,SF3-JPGB03_G12,FL II
214,Department4,Team4,25,CIS,C,CI,Scottish,EUR,Female,26,37,2016,2016,3,1.0,1,3,15689,23.44,5,5,SF-Z-1GB03_G10,FL V
215,Department5,Team5,21,DCS,D,DC,German,CNY,Female,16,44,2017,2017,3,1.0,2,2,14923,21.83,4,4,SF-Z-1GB03_G10,FL II
216,Department1,Team6,20,DIS,D,DI,Irish,CNY,Male,33,90,2017,2017,2,1.0,4,1,6056,14.74,3,5,SF-Z-1GB03_G10,FL II
217,Department2,Team7,21,SID,S,SI,French,TND,Male,17,73,2017,2017,3,1.0,3,1,18243,5.01,5,5,SF-Z-4GB03_G7,FL VI
218,Department3,Team8,42,S,S,S,Italian,LKR,Female,16,5,2016,2016,5,1.0,1,1,10778,6.79,4,3,FG-63GB03_G9,FL VI
219,Department4,Team9,32,DIS,D,DI,Polish,THB,Male,36,94,2017,2017,2,1.0,2,3,18162,13.04,5,1,SF3-JPGB03_G12,FL V
220,Department5,Team10,54,CSID,C,CS,French,PLN,Male,15,118,2016,2016,3,1.0,1,4,17506,14.3,3,2,FG-63GB03_G9,FL II
221,Department1,Team11,63,SIC,S,SI,French,CNY,Male,0,66,2017,2017,4,1.0,1,3,4961,18.09,1,4,SF-Z-4GB03_G7,FL II
222,Department2,Team12,22,SDI,S,SD,American,EUR,Male,24,87,2017,2017,4,1.0,4,1,8177,9.42,1,4,FG-63GB03_G9,FL II
223,Department3,Team13,23,CSDI,C,CS,German,TND,Male,22,114,2017,2017,1,0.4,3,3,5109,10.41,3,2,SF-Z-1GB03_G10,FL I
224,Department4,Team14,21,IDS,I,ID,British,EUR,Female,35,87,2017,2017,5,1.0,3,3,18207,13.91,3,4,SF-Z-4GB03_G7,FL II
225,Department5,Team15,21,IDC,I,ID,Japanese,XOF,Male,34,83,2016,2016,1,1.0,2,1,9788,5.86,3,3,SF1-UK-IEGB3_G9,FL V
226,Department1,Team1,25,DS,D,DS,Irish,PHP,Female,3,100,2016,2016,1,1.0,1,2,12316,3.22,2,2,SF-Z-1GB03_G10,FL II
227,Department2,Team2,42,SID,S,SI,French,IDR,Male,7,65,2017,2017,5,1.0,2,4,3671,17.58,3,2,SF-Z-4GB03_G7,FL I
228,Department3,Team3,34,CI,C,CI,Spanish,RUB,Female,32,22,2017,2017,2,1.0,2,3,3664,6.54,3,5,SF1-UK-IEGB3_G9,FL II
229,Department4,Team4,21,CISD,C,CI,Irish,CNY,Female,16,52,2016,2016,2,1.0,2,4,16233,8.7,2,1,SF1-UK-IEGB3_G9,FL VI
230,Department5,Team5,34,SICD,S,SI,British,CNY,Male,0,52,2017,2017,4,1.0,3,3,4146,18.84,3,5,SF1-UK-IEGB3_G9,FL I
231,Department1,Team6,32,D,D,D,French,SEK,Male,31,114,2017,2017,2,1.0,4,4,8070,10.72,1,1,SF1-UK-IEGB3_G9,FL II
232,Department2,Team7,22,DCIS,D,DC,German,XOF,Female,11,12,2016,2016,5,1.0,4,4,12047,27.21,2,2,FG-63GB03_G9,FL II
233,Department3,Team8,76,IDS,I,ID,Irish,RUB,Male,16,29,2016,2016,3,1.0,1,3,5327,28.15,2,5,FG-63GB03_G9,FL VI
234,Department4,Team9,21,DSI,D,DS,Scottish,PLN,Male,14,107,2017,2017,5,0.6,3,3,15429,23.45,1,1,SF3-JPGB03_G12,FL V
235,Department5,Team10,61,CSID,C,CS,French,JPY,Female,39,64,2016,2016,3,0.4,4,3,12152,22.36,1,5,FG-63GB03_G9,FL V
236,Department1,Team11,54,IC,I,IC,Irish,IDR,Male,16,78,2017,2017,4,1.0,3,2,11949,29.15,1,1,SF-Z-1GB03_G10,FL II
237,Department2,Team12,21,ICD,I,IC,American,THB,Female,39,57,2017,2017,1,1.0,2,3,8250,22.74,2,5,FG-63GB03_G9,FL II
238,Department3,Team13,68,ISCD,I,IS,British,EUR,Female,25,55,2016,2016,3,1.0,3,4,4359,12.89,2,5,SF-Z-4GB03_G7,FL II
239,Department4,Team14,22,SCD,S,SC,American,IDR,Male,30,112,2017,2017,5,1.0,4,3,17323,9.57,3,1,SF3-JPGB03_G12,FL II
240,Department5,Team15,34,CSID,C,CS,Scottish,CNY,Male,15,96,2016,2016,4,1.0,3,1,5555,13.46,1,3,SF-Z-1GB03_G10,FL VI
241,Department1,Team1,34,CDI,C,CD,German,ZAR,Female,36,99,2017,2017,4,1.0,3,4,6275,27.99,2,5,SF-Z-4GB03_G7,FL V
242,Department2,Team2,34,CSD,C,CS,French,PHP,Male,10,112,2017,2017,3,1.0,3,3,13392,7.27,1,4,FG-63GB03_G9,FL II
243,Department3,Team3,34,SI,S,SI,Polish,YER,Female,7,1,2016,2016,2,1.0,2,3,18015,4.16,2,2,SF1-UK-IEGB3_G9,FL II
245,Department5,Team5,23,DCS,D,DC,Italian,PEN,Female,2,85,2016,2016,5,0.4,3,3,12347,28.97,5,3,SF-Z-1GB03_G10,FL I
246,Department1,Team6,34,SDIC,S,SD,Italian,EUR,Male,14,96,2016,2016,3,1.0,1,3,7619,16.02,5,3,SF-Z-4GB03_G7,FL VI
247,Department2,Team7,32,ISDC,I,IS,Spanish,EUR,Male,27,93,2017,2017,2,0.4,4,3,8370,1.24,3,5,SF3-JPGB03_G12,FL II
248,Department3,Team8,32,DCI,D,DC,American,CHF,Female,16,72,2016,2016,5,1.0,2,4,5557,18.36,4,1,SF1-UK-IEGB3_G9,FL II
249,Department4,Team9,63,CSID,C,CS,Scottish,CNY,Male,26,98,2016,2016,3,0.8,2,3,6770,14.31,5,4,SF3-JPGB03_G12,FL II
252,Department2,Team12,25,SCD,S,SC,Italian,BWP,Male,3,116,2017,2017,3,1.0,3,1,12244,10.47,3,3,SF-Z-4GB03_G7,FL VI
253,Department3,Team13,23,SI,S,SI,Spanish,KRW,Female,19,34,2017,2017,5,1.0,3,4,10123,21.52,3,2,FG-63GB03_G9,FL II
254,Department4,Team14,25,IDS,I,ID,British,BGN,Male,22,68,2016,2016,1,1.0,2,1,4207,21.65,2,4,SF-Z-1GB03_G10,FL V
255,Department5,Team15,56,IDS,I,ID,American,EUR,Male,3,46,2017,2017,2,1.0,1,3,5635,16.89,2,3,SF-Z-4GB03_G7,FL I
256,Department1,Team1,20,DCS,D,DC,Spanish,CAD,Male,23,109,2016,2016,2,1.0,3,3,11008,9.91,4,3,SF3-JPGB03_G12,FL I
257,Department2,Team2,63,SDI,S,SD,Italian,KZT,Female,6,12,2017,2017,4,0.8,3,1,13640,2.49,4,1,SF-Z-4GB03_G7,FL II
258,Department3,Team3,44,DS,D,DS,Irish,COP,Male,28,43,2016,2016,1,1.0,3,1,9276,12.01,2,5,SF-Z-4GB03_G7,FL I
259,Department4,Team4,34,DS,D,DS,German,EUR,Female,17,71,2016,2016,5,1.0,2,2,3642,13.68,1,1,SF3-JPGB03_G12,FL I
260,Department5,Team5,54,ID,I,ID,British,CNY,Male,1,102,2016,2016,1,1.0,1,3,15929,17.97,1,4,SF1-UK-IEGB3_G9,FL VI
262,Department2,Team7,44,CIS,C,CI,American,CNY,Female,37,86,2016,2016,3,0.4,4,1,10502,23.32,2,2,SF3-JPGB03_G12,FL VI
263,Department3,Team8,32,IC,I,IC,Scottish,IDR,Male,3,35,2016,2016,3,1.0,3,3,5482,29.61,2,1,SF-Z-4GB03_G7,FL V
264,Department4,Team9,63,D,D,D,American,USD,Male,13,60,2017,2017,3,1.0,1,2,2086,26.43,3,1,SF3-JPGB03_G12,FL II
265,Department5,Team10,56,D,D,D,Japanese,EUR,Male,36,58,2016,2016,1,1.0,1,4,13657,11.29,1,5,SF1-UK-IEGB3_G9,FL II
266,Department1,Team11,56,SCD,S,SC,British,SSP,Female,17,112,2017,2017,3,1.0,4,4,15130,10.3,4,2,SF3-JPGB03_G12,FL V
267,Department2,Team12,34,C,C,C,American,THB,Female,28,25,2017,2017,2,1.0,1,1,6524,29.58,4,3,SF1-UK-IEGB3_G9,FL V
268,Department3,Team13,23,ISD,I,IS,American,PLN,Male,23,18,2016,2016,5,1.0,3,1,5687,12.41,5,1,SF1-UK-IEGB3_G9,FL II
269,Department4,Team14,32,DC,D,DC,Japanese,CNY,Female,21,95,2016,2016,2,0.6,4,1,2587,15.42,3,4,SF-Z-4GB03_G7,FL I
270,Department5,Team15,34,IC,I,IC,Irish,MYR,Male,22,30,2017,2017,5,1.0,3,3,10622,1.83,2,4,SF3-JPGB03_G12,FL II
271,Department1,Team1,25,IDS,I,ID,Japanese,NGN,Male,18,38,2016,2016,5,1.0,4,1,2655,22.0,2,4,FG-63GB03_G9,FL VI
272,Department2,Team2,20,CI,C,CI,Scottish,CNY,Female,1,69,2017,2017,5,1.0,3,4,16140,16.99,2,1,FG-63GB03_G9,FL VI
273,Department3,Team3,63,SID,S,SI,Polish,IDR,Male,26,14,2016,2016,1,1.0,1,2,12107,25.78,5,2,SF-Z-1GB03_G10,FL VI
274,Department4,Team4,63,SCDI,S,SC,Irish,HRK,Female,21,12,2016,2016,4,1.0,1,4,10781,23.73,3,5,SF1-UK-IEGB3_G9,FL V
275,Department5,Team5,34,DCIS,D,DC,Polish,CNY,Male,17,6,2017,2017,1,1.0,4,1,14603,9.6,5,1,SF-Z-1GB03_G10,FL V
276,Department1,Team6,34,SICD,S,SI,Irish,HRK,Female,39,102,2016,2016,5,1.0,1,2,4917,24.37,5,2,SF1-UK-IEGB3_G9,FL I
277,Department2,Team7,40,DIC,D,DI,Italian,PHP,Male,37,92,2017,2017,1,0.6,3,1,10496,25.31,2,5,SF-Z-4GB03_G7,FL II
278,Department3,Team8,25,SC,S,SC,Scottish,MXN,Female,5,114,2016,2016,1,0.6,1,1,16553,24.33,3,3,FG-63GB03_G9,FL II
279,Department4,Team9,32,SCDI,S,SC,Spanish,CNY,Male,37,13,2017,2017,2,1.0,3,3,9575,4.74,2,3,SF-Z-4GB03_G7,FL VI
280,Department5,Team10,76,SCID,S,SC,Scottish,XAF,Male,37,18,2016,2016,1,0.4,4,1,3319,24.84,2,4,SF3-JPGB03_G12,FL V
281,Department1,Team11,34,CS,C,CS,French,EUR,Male,4,40,2016,2016,3,1.0,4,4,16530,28.01,2,2,SF-Z-1GB03_G10,FL I
282,Department2,Team12,61,SIDC,S,SI,Japanese,OMR,Male,20,7,2017,2017,2,0.8,2,4,8444,6.57,5,3,SF-Z-4GB03_G7,FL VI
283,Department3,Team13,34,ICSD,I,IC,Scottish,CZK,Female,22,16,2016,2016,4,1.0,1,1,14697,15.57,2,2,SF-Z-1GB03_G10,FL II
284,Department4,Team14,61,DS,D,DS,Irish,CNY,Female,28,55,2016,2016,2,1.0,2,3,15130,9.72,5,2,SF1-UK-IEGB3_G9,FL I
285,Department5,Team15,23,DCIS,D,DC,Italian,MKD,Male,19,7,2017,2017,2,1.0,4,2,13033,18.01,2,5,SF3-JPGB03_G12,FL II
286,Department1,Team1,44,SCID,S,SC,British,SEK,Female,7,1,2016,2016,4,1.0,2,2,7672,6.34,1,2,SF1-UK-IEGB3_G9,FL V
287,Department2,Team2,32,ISDC,I,IS,Spanish,BAM,Male,6,32,2017,2017,2,1.0,2,2,10707,22.53,3,4,SF1-UK-IEGB3_G9,FL II
288,Department3,Team3,76,DSIC,D,DS,Italian,USD,Male,0,114,2017,2017,4,1.0,2,3,12507,1.17,1,3,SF1-UK-IEGB3_G9,FL II
289,Department4,Team4,61,DSIC,D,DS,Scottish,MAD,Male,32,35,2016,2016,2,0.4,3,4,8155,15.7,4,5,SF3-JPGB03_G12,FL VI
290,Department5,Team5,20,DICS,D,DI,British,RUB,Male,26,20,2017,2017,5,1.0,3,1,18383,9.8,1,1,SF1-UK-IEGB3_G9,FL II
291,Department1,Team6,34,SI,S,SI,Spanish,CNY,Female,4,104,2017,2017,4,1.0,2,2,15608,12.51,2,4,SF-Z-4GB03_G7,FL V
292,Department2,Team7,25,DS,D,DS,Polish,RUB,Female,29,97,2016,2016,3,1.0,1,1,5168,24.89,2,4,SF-Z-4GB03_G7,FL II
293,Department3,Team8,25,SCI,S,SC,Spanish,GMD,Female,39,84,2017,2017,1,1.0,4,3,11726,4.62,4,4,SF-Z-1GB03_G10,FL II
294,Department4,Team9,56,CDI,C,CD,Irish,RUB,Female,13,55,2016,2016,1,1.0,4,4,17055,9.9,4,5,FG-63GB03_G9,FL VI
295,Department5,Team10,76,SID,S,SI,Japanese,IDR,Female,40,32,2016,2016,3,1.0,4,4,4880,12.44,4,3,SF1-UK-IEGB3_G9,FL II
296,Department1,Team11,56,D,D,D,Spanish,PHP,Male,24,75,2016,2016,3,1.0,2,1,12909,7.15,3,5,SF-Z-1GB03_G10,FL I
297,Department2,Team12,23,ICDS,I,IC,German,HRK,Female,1,42,2016,2016,3,0.5,1,2,11362,28.46,3,2,FG-63GB03_G9,FL II
298,Department3,Team13,56,D,D,D,Japanese,EUR,Male,31,75,2016,2016,5,1.0,4,3,8227,17.32,2,2,SF-Z-4GB03_G7,FL II
299,Department4,Team14,34,CIS,C,CI,American,PHP,Male,19,53,2016,2016,5,0.5,2,3,8622,16.04,4,3,FG-63GB03_G9,FL II
300,Department5,Team15,42,SC,S,SC,Polish,PLN,Male,1,40,2016,2016,2,0.8,2,2,9471,9.94,1,3,SF3-JPGB03_G12,FL II
301,Department1,Team1,34,DI,D,DI,Scottish,USD,Male,16,1,2016,2016,2,0.4,2,4,17068,25.05,4,1,FG-63GB03_G9,FL VI
302,Department2,Team2,56,SI,S,SI,British,PHP,Male,33,118,2016,2016,1,0.4,4,4,9180,24.3,5,3,SF3-JPGB03_G12,FL VI
304,Department4,Team4,76,DS,D,DS,Italian,CNY,Female,29,78,2016,2016,3,1.0,1,3,5199,27.37,4,2,SF1-UK-IEGB3_G9,FL I
305,Department5,Team5,34,SDCI,S,SD,Irish,CNY,Male,32,1,2017,2017,3,1.0,1,2,8966,9.0,4,2,SF1-UK-IEGB3_G9,FL II
306,Department1,Team6,22,C,C,C,Japanese,IRR,Female,1,100,2017,2017,2,1.0,3,4,15057,29.15,5,3,SF-Z-4GB03_G7,FL VI
307,Department2,Team7,32,DISC,D,DI,British,HRK,Male,27,79,2017,2017,1,1.0,3,1,7833,5.98,2,1,SF1-UK-IEGB3_G9,FL I
308,Department3,Team8,61,CI,C,CI,German,XAF,Female,6,100,2016,2016,2,0.5,2,3,7348,11.5,3,2,SF3-JPGB03_G12,FL II
309,Department4,Team9,56,SCD,S,SC,Scottish,JPY,Female,39,67,2016,2016,3,1.0,1,3,10089,11.63,3,2,SF1-UK-IEGB3_G9,FL V
310,Department5,Team10,25,SIDC,S,SI,German,MMK,Female,29,33,2016,2016,4,1.0,1,3,6502,19.45,1,5,FG-63GB03_G9,FL VI
311,Department1,Team11,54,IDS,I,ID,Japanese,CNY,Female,34,69,2017,2017,5,1.0,4,4,3535,13.24,3,3,SF-Z-1GB03_G10,FL II
312,Department2,Team12,23,CD,C,CD,Japanese,CNY,Female,36,88,2016,2016,4,1.0,2,2,12840,29.4,2,1,SF1-UK-IEGB3_G9,FL VI
313,Department3,Team13,61,CSD,C,CS,French,EUR,Female,21,106,2016,2016,5,1.0,3,4,3445,3.84,3,1,FG-63GB03_G9,FL V
314,Department4,Team14,31,IDS,I,ID,French,CNY,Female,37,109,2017,2017,2,0.6,1,1,11396,4.85,3,2,SF-Z-1GB03_G10,FL VI
315,Department5,Team15,56,CDS,C,CD,French,CNY,Female,12,33,2017,2017,5,1.0,2,3,5362,28.71,3,2,SF3-JPGB03_G12,FL V
316,Department1,Team1,32,SIDC,S,SI,Spanish,CNY,Female,11,97,2017,2017,4,1.0,3,3,8651,27.29,1,5,SF3-JPGB03_G12,FL I
317,Department2,Team2,61,SID,S,SI,Scottish,CNY,Male,20,70,2017,2017,2,1.0,3,4,4689,15.47,5,2,FG-63GB03_G9,FL V
318,Department3,Team3,61,DS,D,DS,French,XCD,Female,18,26,2017,2017,3,1.0,4,4,17277,15.34,5,3,SF3-JPGB03_G12,FL II
320,Department5,Team5,56,SCID,S,SC,Polish,NGN,Male,1,41,2017,2017,1,0.8,1,3,12702,11.55,4,4,SF-Z-1GB03_G10,FL V
321,Department1,Team6,34,D,D,D,Scottish,EUR,Female,5,78,2016,2016,4,1.0,4,3,1977,18.05,3,1,SF1-UK-IEGB3_G9,FL I
322,Department2,Team7,23,S,S,S,Scottish,PHP,Male,24,82,2016,2016,5,1.0,4,4,8155,2.61,3,3,SF-Z-4GB03_G7,FL VI
323,Department3,Team8,25,IS,I,IS,Italian,UAH,Male,35,67,2016,2016,3,1.0,1,3,16831,17.01,3,5,SF3-JPGB03_G12,FL II
324,Department4,Team9,40,D,D,D,Irish,CNY,Female,2,59,2017,2017,4,1.0,1,1,10500,21.39,1,4,SF3-JPGB03_G12,FL II
325,Department5,Team10,56,SI,S,SI,American,NOK,Female,35,23,2016,2016,5,1.0,3,3,1888,5.37,5,4,SF-Z-4GB03_G7,FL II
326,Department1,Team11,44,SDIC,S,SD,Italian,THB,Male,36,56,2017,2017,1,1.0,3,2,5344,25.95,2,3,SF-Z-1GB03_G10,FL II
327,Department2,Team12,22,ISDC,I,IS,Italian,CNY,Male,18,117,2017,2017,5,1.0,2,1,2561,26.28,3,5,SF-Z-4GB03_G7,FL II
328,Department3,Team13,54,ISCD,I,IS,German,KES,Male,32,98,2016,2016,5,1.0,4,2,10162,20.05,3,3,SF-Z-4GB03_G7,FL VI
329,Department4,Team14,21,CIS,C,CI,British,UAH,Male,39,33,2017,2017,3,1.0,4,2,8891,21.82,5,1,SF3-JPGB03_G12,FL V
330,Department5,Team15,25,SCD,S,SC,Polish,CNY,Female,27,5,2017,2017,3,1.0,2,4,8779,5.17,4,2,FG-63GB03_G9,FL VI
331,Department1,Team1,68,DIS,D,DI,Irish,CNY,Female,23,16,2016,2016,3,1.0,2,1,14837,29.43,4,3,SF-Z-1GB03_G10,FL II
332,Department2,Team2,25,DC,D,DC,Spanish,EUR,Male,7,71,2016,2016,1,1.0,1,2,4007,29.61,4,1,FG-63GB03_G9,FL II
333,Department3,Team3,22,CSD,C,CS,British,NGN,Male,22,88,2017,2017,1,1.0,4,3,10110,7.8,2,3,SF-Z-4GB03_G7,FL II
334,Department4,Team4,42,DSCI,D,DS,Japanese,YER,Female,20,38,2016,2016,4,1.0,3,2,18417,2.46,4,2,SF-Z-1GB03_G10,FL V
335,Department5,Team5,63,SDIC,S,SD,French,IDR,Male,5,84,2017,2017,1,1.0,2,1,9641,24.08,4,3,SF3-JPGB03_G12,FL II
336,Department1,Team6,34,CDSI,C,CD,Polish,EUR,Female,0,11,2017,2017,2,1.0,4,4,14678,11.9,3,4,SF1-UK-IEGB3_G9,FL II
337,Department2,Team7,56,CDIS,C,CD,American,CLP,Female,31,6,2016,2016,2,1.0,1,3,5701,19.27,3,5,FG-63GB03_G9,FL II
338,Department3,Team8,34,SICD,S,SI,British,CNY,Male,12,64,2016,2016,4,1.0,4,2,5512,17.43,2,1,FG-63GB03_G9,FL II
339,Department4,Team9,32,DI,D,DI,Scottish,TZS,Female,24,24,2017,2017,5,1.0,4,1,4539,23.07,4,2,FG-63GB03_G9,FL VI
340,Department5,Team10,68,IDS,I,ID,Polish,PHP,Male,19,101,2016,2016,1,0.8,3,4,3045,29.51,4,3,SF-Z-1GB03_G10,FL II
342,Department2,Team12,22,ICD,I,IC,French,CNY,Male,27,108,2017,2017,4,1.0,2,4,12578,22.17,4,1,SF1-UK-IEGB3_G9,FL VI
343,Department3,Team13,54,ID,I,ID,Japanese,BRL,Male,32,51,2017,2017,1,1.0,3,3,17107,10.89,3,1,SF1-UK-IEGB3_G9,FL II
344,Department4,Team14,34,DCIS,D,DC,French,RUB,Female,13,116,2017,2017,1,1.0,1,4,7861,29.49,1,1,SF3-JPGB03_G12,FL II
345,Department5,Team15,56,IC,I,IC,Spanish,UYU,Female,0,65,2016,2016,3,1.0,4,3,8678,21.38,3,4,SF-Z-1GB03_G10,FL V
346,Department1,Team1,25,SC,S,SC,German,CNY,Male,34,97,2017,2017,5,1.0,4,1,9865,21.8,1,3,SF-Z-4GB03_G7,FL VI
347,Department2,Team2,76,CSDI,C,CS,Spanish,EUR,Male,32,96,2016,2016,2,1.0,1,2,18388,20.66,3,1,SF3-JPGB03_G12,FL VI
348,Department3,Team3,22,CDS,C,CD,British,ARS,Female,19,10,2016,2016,4,0.6,1,2,2529,1.57,4,2,SF3-JPGB03_G12,FL V
349,Department4,Team4,31,ISD,I,IS,British,IDR,Female,39,87,2017,2017,3,1.0,4,2,17722,17.32,3,5,SF-Z-1GB03_G10,FL V
350,Department5,Team5,44,CDIS,C,CD,French,CUP,Female,7,100,2016,2016,2,0.6,4,3,12173,20.65,4,2,SF-Z-4GB03_G7,FL I
352,Department2,Team7,23,SCID,S,SC,Irish,CNY,Male,34,41,2016,2016,4,1.0,1,1,11377,7.03,2,4,SF3-JPGB03_G12,FL VI
353,Department3,Team8,23,CIS,C,CI,German,CZK,Male,36,47,2017,2017,5,1.0,3,3,10886,12.12,5,1,SF-Z-4GB03_G7,FL I
354,Department4,Team9,44,SDIC,S,SD,Italian,IDR,Male,29,57,2017,2017,3,1.0,1,1,3140,26.29,5,4,FG-63GB03_G9,FL II
355,Department5,Team10,56,CI,C,CI,Japanese,DOP,Female,21,73,2016,2016,1,1.0,4,3,10042,14.42,5,5,SF3-JPGB03_G12,FL I
356,Department1,Team11,34,CDS,C,CD,Scottish,CNY,Male,34,1,2016,2016,3,1.0,2,1,6006,22.65,1,5,SF3-JPGB03_G12,FL I
357,Department2,Team12,34,CSID,C,CS,Polish,BOB,Female,32,112,2016,2016,5,1.0,3,2,5338,8.18,5,5,SF-Z-4GB03_G7,FL VI
358,Department3,Team13,56,IC,I,IC,Japanese,CNY,Male,0,31,2017,2017,1,1.0,4,3,13223,24.25,3,3,SF1-UK-IEGB3_G9,FL II
359,Department4,Team14,56,SICD,S,SI,Irish,SDG,Female,18,117,2017,2017,5,1.0,2,4,3190,23.05,1,3,SF1-UK-IEGB3_G9,FL II
360,Department5,Team15,56,D,D,D,French,IDR,Male,10,63,2016,2016,4,1.0,1,3,5401,5.6,4,5,SF1-UK-IEGB3_G9,FL VI
361,Department1,Team1,34,CISD,C,CI,German,EUR,Female,1,28,2016,2016,5,1.0,1,4,17586,25.23,1,5,FG-63GB03_G9,FL II
362,Department2,Team2,22,CSD,C,CS,Irish,IDR,Male,29,51,2016,2016,5,1.0,4,4,2118,17.24,2,4,SF1-UK-IEGB3_G9,FL I
363,Department3,Team3,23,CSI,C,CS,Polish,NGN,Female,26,116,2016,2016,5,1.0,3,1,2560,26.63,3,5,SF-Z-1GB03_G10,FL V
364,Department4,Team4,34,CSID,C,CS,British,CNY,Male,10,120,2017,2017,1,1.0,4,4,16888,6.28,3,2,FG-63GB03_G9,FL II
365,Department5,Team5,31,DC,D,DC,Japanese,EUR,Male,16,9,2017,2017,1,0.4,1,1,3667,17.99,3,4,SF-Z-4GB03_G7,FL I
366,Department1,Team6,22,ISD,I,IS,French,CZK,Female,1,68,2016,2016,1,1.0,3,2,3558,22.05,3,3,SF-Z-4GB03_G7,FL I
